"id";"data_registro";"q1_interesse";"q2_tempo_aluguel";"q3_uso_principal";"q4_fator_decisivo";"q5_preco_diaria";"q6_faixa_etaria";"q7_tipo_viagem";"q8_valoriza_seguro";"cupom_gerado"
"19";"2025-10-14 12:04:59";"sim";"meia_diaria";"lazer_passeios";"preco";"r121_160";"18_25";"familia";"essencial";"GRAMADO50"
"20";"2025-10-14 12:12:09";"sim";"diaria_completa";"lazer_passeios";"delivery";"r121_160";"26_37";"familia";"essencial";"GRAMADO50"
"21";"2025-10-14 19:53:40";"talvez_preco";"meia_diaria";"transporte_rapido";"delivery";"r80_120";"50+";"sozinho";"se_barato";"GRAMADO50"
"22";"2025-10-14 23:43:49";"talvez_preco";"meia_diaria";"lazer_passeios";"conforto";"r121_160";"50+";"familia";"nao_preciso";"GRAMADO50"
"23";"2025-10-15 08:21:43";"nao";"estadia_completa";"mobilidade_essencial";"preco";"r121_160";"50+";"familia";"essencial";"GRAMADO50"
"24";"2025-10-15 12:25:16";"sim";"diaria_completa";"lazer_passeios";"preco";"r80_120";"26_37";"familia";"essencial";"GRAMADO50"
"25";"2025-10-15 14:30:25";"sim";"meia_diaria";"lazer_passeios";"roteiros";"r80_120";"50+";"casal";"essencial";"GRAMADO50"
"26";"2025-10-15 20:55:40";"sim";"meia_diaria";"lazer_passeios";"conforto";"r80_120";"26_37";"casal";"essencial";"GRAMADO50"
"27";"2025-10-16 07:21:22";"sim";"2_3_dias";"explorar_cidades";"preco";"r80_120";"50+";"grupo_amigos";"essencial";"GRAMADO50"
"28";"2025-10-16 07:51:51";"sim";"estadia_completa";"lazer_passeios";"delivery";"r80_120";"38_49";"familia";"essencial";"GRAMADO50"
"29";"2025-10-16 08:15:48";"sim";"meia_diaria";"transporte_rapido";"delivery";"r80_120";"38_49";"casal";"se_barato";"GRAMADO50"
"30";"2025-10-16 08:50:20";"sim";"diaria_completa";"mobilidade_essencial";"preco";"r80_120";"26_37";"grupo_amigos";"se_barato";"GRAMADO50"
"31";"2025-10-16 09:39:07";"sim";"meia_diaria";"lazer_passeios";"delivery";"r121_160";"26_37";"familia";"essencial";"GRAMADO50"
"32";"2025-10-16 09:39:17";"talvez_preco";"diaria_completa";"lazer_passeios";"delivery";"r121_160";"26_37";"familia";"essencial";"GRAMADO50"
"33";"2025-10-16 09:40:27";"sim";"meia_diaria";"lazer_passeios";"preco";"r80_120";"26_37";"casal";"essencial";"GRAMADO50"
"34";"2025-10-16 09:42:08";"sim";"diaria_completa";"mobilidade_essencial";"preco";"r80_120";"26_37";"casal";"essencial";"GRAMADO50"
"35";"2025-10-16 09:45:48";"sim";"meia_diaria";"lazer_passeios";"preco";"r80_120";"38_49";"casal";"essencial";"GRAMADO50"
"36";"2025-10-16 09:55:51";"sim";"meia_diaria";"lazer_passeios";"preco";"r80_120";"38_49";"familia";"essencial";"GRAMADO50"
"37";"2025-10-16 09:56:18";"nao";"meia_diaria";"transporte_rapido";"preco";"r80_120";"38_49";"familia";"essencial";"GRAMADO50"
"38";"2025-10-16 09:57:09";"sim";"meia_diaria";"lazer_passeios";"preco";"r80_120";"38_49";"familia";"essencial";"GRAMADO50"
"39";"2025-10-16 10:02:38";"sim";"2_3_dias";"explorar_cidades";"preco";"r80_120";"26_37";"familia";"essencial";"GRAMADO50"
